#TYPE Selected.System.String
"VmName","ResourceGroupName","Region","VmSize","VirtualNetwork","Subnet","PrivateIpAddress","OsType","PublicIPAddress","NicName","ApplicationSecurityGroup","OSDiskName","OSDiskTier","OSDiskCaching","OSDiskSize","DataDiskCount","DataDisk1Name","DataDisk1Tier","DataDisk1Size","DataDisk1Caching","DataDisk2Name","DataDisk2Tier","DataDisk2Size","DataDisk2Caching","DataDisk3Name","DataDisk3Tier","DataDisk3Size","DataDisk3Caching","DataDisk4Name","DataDisk4Tier","DataDisk4Size","DataDisk4Caching","DataDisk5Name","DataDisk5Tier","DataDisk5Size","DataDisk5Caching"
"wild","WILD_GROUP","eastus","Standard_B1ls","wild_group-vnet","default","10.0.0.4","Linux","40.76.138.125","wild28_z1",,"wild_OsDisk_1_de70c6ba5e90451c90415a55d30309b3","","ReadWrite",,"0",,,,,,,,,,,,,,,,,,,,
"zzz","ZZZ_GROUP","eastus","Standard_B1ls","zzz_group-vnet","default","10.1.0.4","Linux","20.115.88.7","zzz850_z1",,"zzz_OsDisk_1_da668af35efd4ec3bd9b4c37e0c6d804","P4","ReadWrite",,"0",,,,,,,,,,,,,,,,,,,,
